City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
142,Luderitz,NA,2020-04-15 22:32:48,-26.65,15.16,57.2,82,0,14.99,clear sky,0.0,0
143,Adrar,MR,2020-04-15 22:32:48,20.5,-10.07,81.54,35,9,11.07,clear sky,0.0,0
144,Liverpool,GB,2020-04-15 22:32:49,53.41,-2.98,51.01,70,19,2.24,few clouds,0.0,0
145,Takoradi,GH,2020-04-15 22:32:49,4.88,-1.76,82.08,83,99,4.74,light rain,0.0,0
146,Kungurtug,RU,2020-04-15 22:32:49,50.6,97.52,38.7,42,43,1.39,scattered clouds,0.0,0
147,Prescott,US,2020-04-15 22:30:25,34.54,-112.47,69.01,16,1,6.93,clear sky,0.0,0
148,Egvekinot,RU,2020-04-15 22:32:49,66.32,-179.17,23.23,92,94,6.67,overcast clouds,0.0,0
149,Ayan,RU,2020-04-15 22:32:50,56.45,138.17,38.52,72,47,8.43,scattered clouds,0.0,0
150,Souillac,MU,2020-04-15 22:32:50,-20.52,57.52,77.0,83,40,12.75,scattered clouds,0.0,0
151,Xingcheng,CN,2020-04-15 22:28:57,40.62,120.72,46.63,84,98,8.84,overcast clouds,0.0,0
152,Cherskiy,RU,2020-04-15 22:32:50,68.75,161.3,7.99,92,89,4.23,overcast clouds,0.0,0
153,Portland,US,2020-04-15 22:32:20,45.52,-122.68,66.99,51,75,10.29,broken clouds,0.0,0
154,Katsuura,JP,2020-04-15 22:32:51,35.13,140.3,55.0,81,75,16.11,broken clouds,0.0,0
155,Pavlodar,KZ,2020-04-15 22:32:51,52.3,76.95,41.0,71,63,4.47,broken clouds,0.0,0
156,Saint-Philippe,RE,2020-04-15 22:32:51,-21.36,55.77,75.2,64,75,8.05,broken clouds,0.0,0
157,Pareora,NZ,2020-04-15 22:32:51,-44.49,171.21,56.98,51,29,7.18,scattered clouds,0.0,0
