City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Pisco,PE,75.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
120,Raub,MY,73.87,overcast clouds,3.79,101.86,Daniels Guest House Raub
121,Tete,MZ,74.41,few clouds,-16.16,33.59,Zambeze Paraíso Misterioso
124,Lebu,CL,61.65,scattered clouds,-37.62,-73.65,Hostal Las Lilas
125,Osmaniye,TR,66.99,overcast clouds,37.07,36.25,KARACALAR APART
131,Alofi,NU,78.8,scattered clouds,-19.06,-169.92,Taloa Heights
139,Bintulu,MY,73.4,broken clouds,3.17,113.03,900 Boutique INN
144,Camacha,PT,64.4,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
145,Carnarvon,AU,73.4,scattered clouds,-24.87,113.63,Hospitality Carnarvon
146,Vila Franca Do Campo,PT,62.6,broken clouds,37.72,-25.43,Pestana Bahia Praia
147,Yulara,AU,66.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
153,Ribeira Brava,PT,61.0,few clouds,32.65,-17.07,Hotel do Campo
155,Mahebourg,MU,79.0,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
156,Bubaque,GW,79.66,overcast clouds,11.28,-15.83,Casa Dora
158,Sao Filipe,CV,71.69,few clouds,14.9,-24.5,Tortuga B&B
164,Port Hedland,AU,77.0,overcast clouds,-20.32,118.57,The Esplanade Hotel
165,Vila Do Maio,CV,75.2,few clouds,15.13,-23.22,Residence 'I Delfini'
166,Belgrade,RS,68.0,few clouds,44.8,20.47,Saruna Wellness - Hotel Park Belgrade
176,Kaeo,NZ,60.01,broken clouds,-35.1,173.78,Bushido Lodge
177,Los Llanos De Aridane,ES,68.0,few clouds,28.66,-17.92,Valle Aridane
180,Cidreira,BR,68.43,clear sky,-30.18,-50.21,Novomar Pousada e Turismo Ltda
182,Hervey Bay,AU,73.99,light rain,-25.3,152.85,Shelly Bay Resort
